pontes,prf,BSO,praca
-54.73976761521172 -17.52032619259666,-54.75945127798731 -17.08194350970428,-54.79399623088005 -16.16551471625241,-54.75861483530606 -17.2189568710819
-54.7629946580805 -17.30160885611753,-54.70666748687025 -16.41716915993447,-55.02145527402426 -15.93254019111966,-54.71388085238716 -16.39339813158689
-54.7620280106907 -17.25163330549673,-55.33256638630672 -15.81862181425953,-55.50227142391849 -15.83167023942165,-55.30908034222217 -15.81187007465122
-54.75984073262502 -17.12006102467473,-55.87366866102648 -15.70136896270675,-55.82687718044533 -15.70225271731207,-55.82923850138376 -15.70213878145837
-54.76164869570727 -17.01971618596812,-56.19504948404959 -15.64924567519879,-56.20227166472614 -15.64133839812147,-56.41566506482994 -15.34987517784859
-54.70694963002421 -16.85752358215078,-56.23078155562776 -14.53209250738696,-56.44293849331083 -15.27653210531757,-56.24076006414947 -14.59951568805202
-54.65144915424165 -16.47984815195708,-55.81142772796241 -12.69776195374863,-56.44363467141788 -14.84278028627622,-56.09338329014226 -13.91918485496162
-56.2043336030733 -15.60304011204975,,-56.22226352863152 -14.57105844757187,-56.02257597137962 -13.26553685087098
-56.29060599707405 -15.48011765573881,,-54.76186395088968 -17.31034072243758,-55.6537319804821 -12.44147262455848
-56.32801533699839 -15.44854806916836,,-54.71174346835117 -16.87155216071922,
-56.35534373595796 -15.41243148164443,,-56.13056313471619 -14.2474818371519,
-56.39526085593836 -15.38574772924856,,-56.08728055422728 -13.87036752101872,
-56.42167758635583 -15.33512762107966,,-56.07805037469804 -13.4575932135495,
-56.45086099772232 -15.26855381100367,,-55.94528768687802 -13.09309384501403,
-56.47539046015323 -15.24648999246475,,-55.76556362595098 -12.62037856604575,
-56.48323344095804 -15.241779896253,,-55.5734783005838 -12.30287609984953,
-56.52236524118827 -15.13692090945654,,-55.49550402937027 -11.86243135487466,
-56.52032736973436 -15.10775079044847,,-54.65522345 -16.51279397,
-56.51819152837906 -15.07682645302718,,,
-56.51675096394039 -15.05546879015733,,,
-56.51872058099524 -14.98195208509647,,,
-56.50964232716877 -14.95779336792247,,,
-56.49399838438926 -14.93884554287372,,,
-56.4709122436735 -14.91119124967851,,,
-56.45245710587133 -14.85579006454695,,,
-56.44736723511083 -14.84696292414239,,,
